home_elo,away_elo,elo_diff,home_avg_overall,home_max_overall,home_avg_attack,home_avg_defense,home_avg_pace,home_avg_shooting,home_avg_passing,away_avg_overall,away_max_overall,away_avg_attack,away_avg_defense,away_avg_pace,away_avg_shooting,away_avg_passing,overall_diff,attack_diff,defense_diff,home_form_scored,home_form_conceded,home_form_win_rate,away_form_scored,away_form_conceded,away_form_win_rate,is_neutral,is_world_cup,is_continental,home_goals,away_goals,_home_team,_away_team,_date,_tournament,home_trophy_bonus,away_trophy_bonus
1698.149322,2022.911187,-324.7618645,73.64285714,76,74.5,73.61538462,63.0,52.2,62.3,86.14285714,91,87.5,85.33333333,84.92307692,73.07692308,77.0,-12.5,-13.0,-11.71794872,1.8,1.6,0.6,2.8,1.0,0.8,0,0,0,0,1,Ireland,France,27-03-2023,European Championship qual,0.0,0.6
1771.396911,1541.172525,230.2243858,79.64285714,85,78.71428571,80.5,71.92857143,63.35714286,71.0,62.42857143,70,58.0,63.8,64.66666667,49.33333333,54.83333333,17.21428571,20.71428571,16.7,1.6,1.2,0.6,1.0,0.6,0.4,0,0,0,2,1,Austria,Estonia,27-03-2023,European Championship qual,0.0,0.0
1706.946368,1721.91485,-14.9684817,74.78571429,81,74.75,74.54545455,70.09090909,58.18181818,66.0,75.57142857,81,76.5,74.4,75.5,65.0,67.14285714,-0.785714286,-1.75,0.145454545,0.4,1.0,0.0,0.4,0.6,0.4,0,0,0,3,2,Chile,Paraguay,27-03-2023,Friendly,0.0,0.0
1345.387469,1774.991453,-429.6039838,65.0,72,65.4,63.2,62.1,55.0,53.2,77.21428571,83,78.0,76.77777778,72.72727273,71.09090909,71.36363636,-12.21428571,-12.6,-13.57777778,1.2,1.8,0.4,2.0,1.8,0.4,0,0,0,0,0,Moldova,Czech Republic,27-03-2023,European Championship qual,0.0,0.0
1829.239323,1532.9273,296.3120235,70.85714286,82,72.5,68.85714286,72.07142857,61.21428571,64.0,64.55555556,74,62.75,65.71428571,71.55555556,45.55555556,53.66666667,6.301587302,9.75,3.142857143,1.0,2.0,0.2,0.8,1.8,0.2,0,0,0,2,1,Iran,Kenya,28-03-2023,Friendly,0.1,0.0
1211.026921,1561.973079,-350.946157,57.0,63,56.5,57.0,67.0,50.0,54.0,69.5,75,69.8,68.5,74.2,57.8,62.3,-12.5,-13.3,-11.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,Eswatini,Cape Verde,28-03-2023,African Nations Cup qualifier,0.0,0.0
1461.098364,1773.768349,-312.6699856,72.5,81,70.0,73.33333333,72.0,62.75,64.75,72.28571429,81,71.5,72.09090909,71.76923077,61.0,65.53846154,0.214285714,-1.5,1.242424242,1.0,1.6,0.4,1.2,0.2,0.6,0,0,0,0,1,Libya,Tunisia,28-03-2023,African Nations Cup qualifier,0.0,0.0
1507.555214,1532.064527,-24.50931376,65.33333333,66,64.0,66.0,71.5,52.5,52.0,74.0,80,74.71428571,73.55555556,78.21428571,62.57142857,66.42857143,-8.666666667,-10.71428571,-7.555555556,1.4,0.6,0.6,1.4,1.0,0.4,0,0,0,1,1,Mauritania,democratic republic of congo,28-03-2023,African Nations Cup qualifier,0.0,0.0
1391.996936,1643.330753,-251.3338171,65.16666667,76,61.0,67.0,66.33333333,48.5,59.16666667,67.71428571,74,68.125,67.16666667,72.92857143,54.64285714,56.57142857,-2.547619048,-7.125,-0.166666667,0.6,1.8,0.0,2.0,0.8,0.6,0,0,0,1,2,Liberia,South Africa,28-03-2023,African Nations Cup qualifier,0.0,0.1
1396.175751,1742.554893,-346.3791425,59.5,64,55.0,59.5,73.5,35.5,48.5,70.84615385,89,69.11111111,74.75,67.61538462,61.38461538,62.69230769,-11.34615385,-14.11111111,-15.25,0.8,1.0,0.2,2.2,1.0,0.8,0,0,0,0,4,Malawi,Egypt,28-03-2023,African Nations Cup qualifier,0.0,0.2
